[[  -21.02537608]
 [   19.72294029]
 [   35.00162724]
 [   67.71752518]
 [   77.72637776]
 [  116.11433035]
 [  119.60706229]
 [  144.33539888]
 [  201.62682745]
 [  202.39784465]
 [  212.82569986]
 [  245.20171631]
 [  212.60455698]
 [  276.35009078]
 [  299.21997185]
 [  281.47464998]
 [  315.35957035]
 [  365.89253836]
 [  363.72844703]
 [  397.32082181]
 [  399.10117263]
 [  435.53769424]
 [  450.58866242]
 [  462.7016725 ]
 [  470.89181143]
 [  510.75499801]
 [  540.82280347]
 [  555.09341878]
 [  566.60840414]
 [  587.73195257]
 [  609.18749788]
 [  634.72146944]
 [  658.98268428]
 [  689.62655476]
 [  673.91416335]
 [  708.83000382]
 [  706.43946179]
 [  741.68378576]
 [  774.20767092]
 [  774.1493633 ]
 [  792.85507703]
 [  837.15442565]
 [  841.41753949]
 [  866.75120053]
 [  866.31084224]
 [  953.58271216]
 [  932.27921077]
 [  939.04853052]
 [  964.3650923 ]
 [  976.26773644]
 [ 1010.39032857]
 [ 1038.63281185]
 [ 1046.31712106]
 [ 1114.56639857]
 [ 1073.32638875]
 [ 1127.17817628]
 [ 1139.14209928]
 [ 1163.81200024]
 [ 1148.55120905]
 [ 1189.70107265]
 [ 1222.8291663 ]
 [ 1204.32043257]
 [ 1243.93342731]
 [ 1269.8052407 ]
 [ 1334.40063368]
 [ 1281.54843012]
 [ 1339.35632864]
 [ 1351.84347035]
 [ 1381.99706639]
 [ 1427.26217439]
 [ 1401.42567174]
 [ 1437.84924817]
 [ 1485.72222852]
 [ 1489.69811285]
 [ 1474.97297005]
 [ 1531.10750486]
 [ 1518.39862931]
 [ 1563.57913533]
 [ 1578.65068214]
 [ 1589.75632303]
 [ 1627.79367146]
 [ 1629.41144286]
 [ 1639.96719997]
 [ 1685.25344137]
 [ 1688.10028205]
 [ 1721.11929855]
 [ 1755.34666493]
 [ 1773.95790872]
 [ 1783.05657931]
 [ 1795.36992033]
 [ 1850.70874291]
 [ 1846.64134433]
 [ 1868.54763135]
 [ 1886.78260307]
 [ 1921.65977289]
 [ 1902.63852002]
 [ 1939.13491783]
 [ 1941.84813204]
 [ 1971.31555082]
 [ 2018.64019504]]
